CustomerID,Name,MobileNumber,Email,TID
1,God 66666666,66666666,jesus@gmail.com,"AA1201911131434,AA2201911151728"
2,John Cena,,help@yahoo.com,BB3201911131440
3,Beng ,99900099,huat888@gmail.com,CC1201911131447
4,me,999,help@gmail.com,[]
5,help,65412288,lol@gmail.com,[]
6,holy spirti,666,god@gmail.com,[]
7,god ,999,jesus@gmail.co,[]
8,Ben,93223322,hello@gmail.com,"""""""AA3201911161302,CC2201911161817",CC1201911161614",BB2201911161816",BB2201911161543",CC2201911161543",AA1201911161321,AA1201911161314,AA1201911161316,AA1201911161303,AA1201911161307",AA1201911161500"
9,hi,99554466,hellow@gmail.com,"BB2201911161540,CC2201911161540"
10,Jun,909090,jun@test.com,""""""""""""AA1201911161609,AA3201911161827",CC1201911161829",CC1201911161826",AA1201911161826",CC2201911161804",CC2201911161825",CC2201911161615",CC1201911161616",CC1201911161611",CC1201911161613",AA3201911161609",CC2201911161610"
11,Jun,999999,teng@test.com,[]
12,Jun,99999,hun@test.com,"AA1201911161601,AA3201911161602"
13,Name1,9089,the@test.com,CC2201911161650
14,Myat,999999,myat@,"AA2201911161758,BB1201911161758"
15,Jun Teng,88888888,jt@,[]
16,thu,987,thu@ret.com,BB2201911161822
